Job_Title,Total_monetary_compensation
"Pharmacy Billing Specialist",35700
"Medical Coder/Auditor",72497
"Quality Systems Coordinator",63000
"University Librarian",153497
"Sr. Process Engineer",86160
"Special Events",77497
"Secondary English Teacher",129336
"Principal Scientist ",270000
"Part-time Faculty ",33497
"Executive Director of Grant Development ",64497
"Account Management",61000
"Assistant Library Director/Systems Librarian",68697
"Lead keeper",51497
"Retirement Specialist",45497
"Office Services Manager",66237
"Mechanical specialist",83497
"Assistant Manager ",176494
"Commercial Title Examiner",52000
"Junior Developer",79997
"Lead Marketing Manager",85497
"Manager of Mechanical Engineering",161000
"Medical Writer/Editor",71263
"Mental Health Peer Worker",55097
"Software Developer and Consultant",98000
"Training and Professional Development Specialist",67497
"Online chat investment advisor",62500
"Minister (united church)",72500
"Clinical Documentation Specialist",166000
"Account executive/broker",87500
"Education and Training Coordinator",130497
"Motion Designer",170994
"VFX Generalist",178960
"Physical Security Specialist",78500
"Financial Risk Analyst",126000
"Arbitration Rep",69497
"Forecasting Manager",93000
"Project Manager-Tech Lead",105500
"Office Manager and Bookkeeper",88497
"OPerations/Regulatory Manager ",87000
"Production Control Coordinator",47500
"Assistant Director Special Projects",110497
"Computer Operations Coordinator",68497
"Digital Programming Coordinator",54497
"Tech. Admin Asst./Office Coordinator",49695
"Adult Education Teacher",53497
"Original Programming Coordinator",58497
"Clinical Trial Associate",91497
"IT Security Analyst ",109497
"Marketing Staff Manager",102200
"Senior System Analyst",75861
"Spanish Teacher",120994
"Technical Librarian",97497
"Manager of Clinical Referrals",93497
"Product Education Manager",95000
"Licensed Massage Therapist",124994
"Pastry Cook",46777
"Policy Manager",257494
"PR and Communications Manager",93497
"President - machine safety consultant ",160000
"Product Marketing Lead",297497
"Product researcher",148000
"English Teacher, Instructional Coach",100000
"Sr. Coating Specialist",109000
"Assistant Supervisor",106394
"Techical Writer II",74200
"IT Billing Analyst",53497
"Auto Liability Representative II",65497
"Data Scientist /Epidemiologist ",118497
"Project Estimator / Senior Mining Engineer",146000
"Home Healthcare Nurse ",76800
"Public Affairs Advisor",89000
"Public programs manager",53497
"QA/LMS Specialist",81647
"Senior Advisor, Decision Support",116500
"Senior Edotor",87497
"Senior Financial Services Support",99300
"Senior front end Developer ",144497
"Yard Manager",73497
"Forecasting Analyst",60500
"Senior Information Security Specialist",96000
"Senior Manager events",85497
"senior manager network",131100
"Senior Manager, Communications",198000
"Senior Office Manager",97497
"Senior paid ads manager",73500
"Senior Producer",594494
"Senior Production Engineer",278000
"Senior Regulatory Specialist ",102497
"Software Developer - Team Lead",133497
"Public Health Nurse",114293
"Sr Art Director",113497
"sr. info security consultant",109000
"Solution Engineer",110000
"System Software Engineer",129497
"Systems Admin",72000
"Systems Engineer I",93500
"Strategic Data Manager",112000
"Technical Associate",66000
"Technical Support Trainer",122000
"Technical Trainer",144697
"Undergraduate and graduate assistant",73497
"Vice President Commercial Banking",257500
"Doctor's Assistant ",65497
"Thouroughbred exercise rider  ",53497
"VP Client Services",139497
"Water Management Engineer (in Training)",71200
"Workforce Planning Manager",78185
"Technology Integration Specialist",100197
"Director of Prevention and Early Intervention Services",13588
"Training and Quality Assurance supervisor",93497
"Condominium manager",71100
"Manager of Strategic Partnerships",302497
"Director, Content and Operations",130000
"Creative Project Manager",179997
"Engineering Director ",155000
"Integration Specialist",110000
"Risk analyst ",153497
"Secretary / Scheduler ",50497
"File Clerk",40537
"Senior Product Designer ",472071
"Bookkeeper /Merchandiser ",52497
"Manager, Digital Strategy",112000
"Sales Assistant",106497
"Manager, operations",94000
"Constituency Assistant ",68485
"Manager, Strategic and Operational Projects",83500
Representative,107497
"Director, Finance",128497
"Operations Manager, Call Center",65497
"Records management coordinator ",72497
"Communications and Projects Coordinator",87497
"Administrative Services",76997
"Crisis Line Manager",76840
"Operational Excellence Manager",163000
"Regional Crown",170497
"Bookkeeper and Payroll Specialist",117497
"Head of People and Culture",100000
"Document Management Clerk",78331
"Policy and Research Lead",62000
Scheduler,70497
"Director of Communications and Research",103497
"Account Lead",99497
"archivist ",222913
"Assistant Research Engineer",146497
"Assistant Team Lead",87500
"Creative Services Manager",315000
"Candy Packer",36377
"Associate Professor of Business",153497
Brewer,72977
"Building Energy Engineer",79997
"Client Care Manager",79050
"Communications and Fund Development Manager",76497
"Concept Artist",82617
"Corporate Development",135000
"Curriculum consultant/Teacher Leader",111497
"Customer Support",168497
"Dev Ops developer",103497
"Development Officer Monthly Giving",81497
"Director of Claims",132000
"Full-Stack JavaScript Developer",75000
"Director of customer success management ",173497
"Director of Information Systems",118000
"Director of Mortgage Operations",185000
"Director of software programs",170000
"Documentation Team Lead",102997
"Change Management Consultant",13615
"Global Logistics Manager",99097
"Environmental Risk Assessor",93497
"Head of Community",197156
"Manager, Growth",116497
"Illustrator ",145400
"Information Solutions Coordinator",88497
"International Academic Advisor",88497
"IT project coordinator",74497
"Junior Animator",68497
"Knowledge Management Specialist",73497
"Manager, Development Operations",106497
"Manager, International  (Student) Recruitment",123497
"Business partner ",166994
"Pharmaceutical development intern",45897
"Manager, research and strategy",83497
"Mechatronics Engineer",105000
"Operations and process analyst",64880
"Process improvement analysis ",71000
"Medical Credentialing Specialist",48997
"Reception / Admin",42300
"Senior Employee Relations Consultant",106000
"Senior Brand Manager",82500
"Senior Technical Writer (contract)",169497
"Senior Technician (Field service and remote)",73000
"Senior Manager, Planning ",133497
"Senior Manager, Software Development",162000
"Sous chef",53500
Superintendent,148497
"Talent Manager",65000
"Teaching and Learning Librarian / Coordinator of Reference Services",88497
"Test Centre Administrator",53497
"UX/Product Designer",150000
"Youth Programs Coordinator",65497
"Writer (Video Games)",113800
"Fund Administrator",88497
"Security monitor",53497
"Support Centre Manager",55247
"Groundwater manager",121000
"OD Consultant",72500
Costumer,53497
"Development Assistant ",59497
"Director, Development ",145497
Faculty,379494
"Senior Labour Relations Advisor",109357
"GIS (Geographic Information Systems) Manager",88497
"Senior Consultant, Strategy and Analytics ",185000
"Support advisor",47500
"Consulting Analyst ",67000
"Director, project and strategic initiatives",97497
"Clinical Research Nurse",115497
"Senior Communications Advisor",82919
"Lead Talent Acquisition Partner",132250
"Sustainability Analyst ",90574
"Senior Associate Consultant",88000
"articling student, accounting",58497
"Associate Investment Advisor",52500
"Marketing and Communications Strategist",81497
"Firmware Tester",110000
"Fundraising and communications manager",63797
"Guest Services Associate",63497
"Western Sales Manager",81500
"Trade Development Coordinator",59000
"Manager, cash management",131497
"Electrical cable and wire sales ",92000
"Interpretation Supervisor",67500
"Environmental Consultant",179200
"Relief Clerk",61337
"President and Co-Founder",183497
"Software Business Analyst",100000
"HR Senior Manager",118000
"Underwriting support",55000
"Online Instructor",83497
"Senior Manager Customer Support",133497
"Senior Manager, Technical Program Management ",137722
"Yoga Teacher, Psychotherapist (student) ",90000
"Lead Support Specialist",103497
"Solid waste technician ",70497
"Biologist/Environmental permitting ",83497
Freelance,48497
"Customs brokerage associate",42617
"Executive administrative assistant ",88497
"Warehouse Supervisor",197526
"Court Reporter",186994
"Assistant Deputy Minister",139797
"Clinical Research Associate ",93497
"Strategic Investment Planner",122497
"Consumer Safety Officer/Specialist",120000
"Channel Development Manager",86500
"Collections Officer",47565
"Comminications specialist",74000
"Customs broker ",55000
"Director of Finance and Admin",92000
"Event Officer",71497
"GIS Data Specialist",103497
"Graduate program coordinator ",56497
"Mailing Operator",49497
"Outreach worker",41497
"Personal Lines Account Manager",68997
"Regional Marketing Manager",150500
"Deparement Manager",88497
"Service Desk Lead",61497
"Student recruitment",91497
"HR and Information Systems Lead",65497
"Supervisor, Application Support",121497
"Vocational Counsellor",75497
"HR Advisor",451574
"Registered Psychotherapist ",103497
"Corporate and Strategic Planner",125497
"Associate - Labour and Employment",163497
"Lead Caretaker",65497
"Audiology Technician/Newborn Hearing Screener",60497
"Senior scientist ",388614
"Community Success Manager",78497
"Project Coordinator - Communications",66497
"Facility Manager ",80000
"Production Designer ",59497
"Materials Coordinator ",64497
"IS Implementation Principle Project Manager",129997
"Palliative Care/Emergency Department Social Worker",91497
ED,86297
"Commercial Account Manager",198697
"Sr. Software QA Analyst",88497
"Nursing instructor ",93497
"Steward ",82500
"Library service representative",73497
"Municipal Accounting Clerk ",61497
"Clinical Social Worker ",130000
"Head of partnerships ",265497
"Director of content strategy ",163497
"Blending Engineer ",119000
"Front Store Manager",48497
"Electrical engineer ",169497
"Dispatcher ",60000
"Union clerk ",36497
"Chef and Recipe Developer",90750
"Technical Support Agent",60736
"Technical Advisor ",85497
"Admin/Marketing Coordinator",68497
"Enrollment Coordinator ",100541
"Procurement Specialist",82000
"Digital Project Manager",249244
"Dance teacher/choreographer ",78497
"BIM Manager",83497
"Sr. Software Engineer ",247000
"National Director of Science ",138497
"Marketing Project Manager",60497
"Manager, Finance ",106497
"Passport Officer",75497
"Human Resources Consultant",95497
"Scheduling and Inventory Coordinator ",35000
Waiter,53000
"Nursery Nurse",32217
"Agile Coach",472497
"Head of Development",333397
"Management Accountant",166547
"Accounts Senior",48497
"Senior planning policy officer",52497
"Senior Digital Forensic Practitioner",41497
"Sea Logistics specialist ",37497
"Software Development Team Lead",56700
"Knowledge and Information Coordinator",40497
"Program Operations Manager",96497
"Client Support Manager",39378
"Audit Trainee",75994
"Programme Manager ",110994
"Programme Manager",336438
"Senior Sales Consultant",25000
"Business Placement Manager",76497
"Community Support Manager",224997
"Finance Specialist",144497
"Local Newspaper Reporter",58497
"Head of Content",263494
"Senior Technical Program Manager",523297
"Treasury Analyst",84500
"Quality Assurance Specialist II",107997
"Assistant Professor of Economics",100000
"Cost estimator",73697
"Senior Assistant City Attorney ",155497
"Senior Quality Control Analyst",155200
"Test Engineer IV",128750
"Assessment Content Specialist ",63497
"Event Monitor",30000
"Graphics Supervisor",41497
"Program Financial Analyst",114497
"R&D Engineer II",324364
"fire protection engineer",143497
"School Clerk-Secretary",62497
"Director of Early Childhood Education ",119497
"Helpdesk Supervisor",80497
"Media Finance Analyst",51000
"Client Services Director ",55520
"Creative Executive",90000
"Assistant Resource Specialist ",113697
"Deputy Executive Officer",124363
"Senior Research Associate II",198000
"Corporate Counsel ",345994
"3D Project Coordinator",65497
"Emergency Management Coordinator 1",116497
"Admissions Specialist",53497
"Fiscal Systems Specialist I",140000
"Animation TV Writer",96497
"Assistant Account Executive ",48000
"Assistant Director, Stewardship",77497
"IT Security Manager",150497
"Assistant Vice President - Operations Supervisor",70000
"Associate Data Scientist",133000
"Associate Director of Training ",173497
"Associate Director, Annual Giving",167398
"Business Data Analyst",85497
"Associate General Manager",85497
"Business operations administrator ",44000
"Associate Manager Original Series Development",135000
"Associate Manager, Global Brand Marketing",125000
"Associate Producer",341351
"Client Platform Engineer",209994
"Associate Producer and Creative Executive",103497
"Managment Fellow",74000
Attorney-Advisor,137976
"BI Analyst",288291
"Bond Analyst",300000
"Brand Communications Manager",118000
"Brand Marketing Manager",371652
"Business Immigration Consultant",77000
"Business Operations",82000
"Cash App Officer",51497
"Core Faculty ",86997
SLP,90497
"Client Development Manager",70497
"Communications Specialist and Assistant to the CEO",77757
"Computer Systems Analyst",94997
"Conflicts Researcher",79497
"Contributing Editor/Community Manager",78497
"Department Technical Director",129433
"Costume supervisor",143497
"Counselor II",73497
"Customer Support Agent",63497
"Direct response digital copywriter",97497
"Data Privacy and Compliance Professional",135300
"Recreation and Community Services Supervisor (aka Leslie Knope)",86497
"Senior Auditor ",123497
"Deputy City Attorney",308541
"Development ",63497
"Development and Operations Director",110497
"Director of Data Analytics",240400
"Digital Marketing Team Lead",84997
"Digital media coordinator ",44000
"Digital Media Manager",71497
"Sterilization Tech",51897
"Director of BDC and CRM",113497
"Director of HR and Operations ",77000
"Director of Institutional Giving",209994
"Director of Media, Outreach and Education",50100
"Director of Qualitative Research",123000
"Director, Digital Communications Strategy",104997
"Director, Product Management",160497
"District Director",75497
"DMV Clerk",57489
"Editor at news outlet",93497
"Editor, copywriter",109497
"Physical Therapist Assistant ",114300
"Eligibility Worker",55497
"Transportation Planning Associate",112497
"Energy Analyst",118497
"Enrolled agent",133497
"Logistics Analyst",128497
"Experienced Senior Auditor",97497
"Finance and Business Analytics Manager",120000
"Finance Coordinator",72000
"Sr Consultant",140000
"Graphics/UI Designer",70997
"Head of Brand",100497
"I/O Media Assistant",51440
"Physician Recruiter",81797
"Information Literacy Librarian",97497
"Inpatient LCSW ",115000
"Investment Supervisor (Media)",102047
"iOS Engineer",289000
"Intermediate Architectural Designer",75000
"Events, Media and Stewardship Specialist",62450
"Magazine staff writer",78497
"Manager, Advising and Retention",94133
"Manager, Investment Analytics",93497
"Linguist III",217000
"Literary Assistant",36400
"Loads and Dynamics Engineer",92000
"Manager, Production",103497
"Manager, Scheduling and Planning",75000
"Managing Director/COO",137497
"Marketing Programs Specialist",81000
"Media Buyer ",169497
"Mid-Level Systems Administrator",100497
"Multi-disciplinary engineer II ",91000
"Narrative Editor",105000
"Speech and Language Therapist ",50497
"PhD Fellow/Assistant Lecturer",35000
"Pipeline Developer",108497
"Podcast Strategy",170000
"Policy and Technology Specialist",93390
"Post Production Supervisor",103497
"Compliance Auditor",37997
"Optical Engineer II",187000
Cleaner,79594
"PA to the Directors",22500
"Director of Lead Development",109050
"Undergraduate Research Assistant",30497
"Salesforce Consultant",200000
"Project Specialist ",121494
"Proposal Development Manager",88497
"Public Affairs Manager",70250
"Quality Assurance Engineer/Scrum Master",59000
"Biological Science Technician ",48762
"Research and Data Analyst",127500
"Retail Launch specialist",97497
"Revenue Specialist",50611
Embryologist,65154
"Talent Acquisition Strategist",75497
"Principal Public Health Intelligence Analyst",58497
"Senior Assistant to the President",100900
"Solutions Consultant",400300
"Senior Director of Development",350994
"Coder II",46000
"Senior Director of SEO",118000
"HR Senior Specialist",56028
"Senior Editor ",304497
"Senior Manager of Ops Strategy",169000
Laborer,42097
"Senior Manager, Finance",315000
"Senior Manager, Marketing Strategy",118000
"Senior Marketing Research Analyst",118497
"Senior Program Director",257497
"Senior Quality Engineer ",120000
"Senior Business Development Manager",283250
"Senior Recruiting Manager",80000
"Senior Department Manager",61500
"Senior Digital Marketing Specialist ",71497
"Senior Salesforce Analyst",103072
"Software Engineer Intern",125817
"Special Projects Coordinator",167994
"Sr. Manager of Technical Services",128000
"Storyboard director",169497
"Studio Coordinator",85497
"Studio Manager",73497
"Supply Chain Specialist",49000
SVP,370000
"Training Consultant/ Program Manager",86497
"Transcription Coordinator ",38000
"TV Writer",163497
"Vice President Infrastructure",138497
"Workforce Analyst",178000
"Workplace Manager",65000
"Sr. Photographer",86797
"Patient administrative coordinator",40440
"Lead Information Analyst",44497
"Clinical Auditor",78497
"Director Finance and Operations",81497
"Senior Biologist",93497
"Senior Nurse",54497
"Assistant Editorial Manager",71497
"Program Operations Analyst I",62925
"Public Information Officer I",78405
"External Communications Specialist",83000
"Freelance Book Editor",63497
"Gameplay Engineer",115000
"Sr. Inventory Accountant",83500
"Medical Technologist microbiology",75497
"Senior Trust Associate",106000
"Product Development Analyst",62500
"Vice President, Operations",399994
"Industrial Service Technician",106000
"Staff Assistant",248491
"Statistics Supervisor",121020
"Sr. Program Manager",639974
"Loan Officer",173281
"VP HR and Culture",120497
"Web Content Writer",77500
"Associate Professor of Clinical OT",117497
"Customer Service Supervisor",294394
"Assistant Controller ",304000
"Associate creative director",616791
"Associate Manager",236787
"Audience Growth Manager ",62500
"Chemical Technician II ",59000
"Director of Audience Engagement ",93497
"Director of Donor Relations ",105497
"Director of the Multicultural Center",91497
"ERP System Analyst",98000
"Housing director ",133497
"Junior Production Accountant ",76497
"Junior Project Manager ",152257
"Legal Support Assistant ",73100
"Licensed Clinical Social Worker",166936
"Post Production Coordinator ",93497
"Music Copyist",61497
"Primary Teacher",72694
"QA Representative ",39000
"Pharmacy Buyer",66557
"Senior Counsel ",185000
"Senior Customer service manager ",105000
"Shopper Marketing Manager ",130000
"Senior Copywriter and Content Manager ",96000
"Social Media Associate ",75497
"Associate Management Analyst",84674
"Senior Financial Analyst- Mergers and Acquisitions ",126500
"Certified Coder",45000
"Data Finance Administrator ",34497
"Certified Coder ",44600
"Child and Adolescent psychologist ",91000
"Clinical Scientist in Nuclear Medicine",45497
"Dental hygienist ",72500
"City Clerk",67747
"Grant Advisor",78497
"Account Operations Professional",57300
"Assistant Producer",52000
"Assistant to Headmaster",64497
"Assistant treasurer",68997
"Business Control Analyst",74147
"Data Integrity Specialist",53497
"Director of Grants Management",64497
"Director of Quality Assurance",93497
"Electrical Controls Engineering Manager",135000
"Electrical Engineering Manager",139000
"Enrollment Coordinator",96297
"Digital Marketing Associate",139494
"Kindergarten Assistant",41497
"Liquid Billing Analyst",49897
"Maintenance Manager",131497
"Retention Manager",65397
"Senior Credit Officer",131000
"Senior Data Security Analyst",126497
"Senior Litigation Paralegal",75720
"Senior Compliance Professional",80600
"Utility Arborist",50000
"Research Tech II",59257
"Logistics Manager",240714
"Tax Analyst",157497
"Nursing Home Administrator",91497
"Content Coordinator ",41000
"Data Governance ",150000
"Escrow specialist ",56761
"Home Resource Coordinator ",45497
"Membership Director ",53497
"Transportation engineer ",168537
DBA,1100
"Tax Preparer",48140
"Rehab Director",88497
"Digital Communications Manager",355388
"Director of Rehabilitation",88497
"Expert Logistics Engineer",130000
"Partner Marketing Specialist",85497
"Quality Assurance Director",106497
"User Experience Researcher III",108675
"Materials Scientist ",93497
"Senior Application Analyst",72400
"System Integrator",195994
"Lead Administrator",27000
"College Library Director",98497
"Communications Manager ",267491
"Plant Shift Supervisor",64603
"Senior Account Executive ",543597
"Online High School Teacher",87997
"National Forms Manager",90000
"Technical Support Associate",141831
"Engineering Support",90185
"Test Engineer II",168401
"Library metadata specialist",37497
"Clinic assistant",53497
"Payroll and Data Specialist",26191
"Accounts Payable Supervisor",219494
"Consultant Social Worker",56497
"Front and Back Office Manager",41497
"Civil Servant",149131
"Design Supervisor ",88497
"Associate Research Specialist",49897
"Bureau Director",119497
"Clinical dietitian ",77497
"Lead Analyst in Operations",65497
"Postmarket Surveillance Medical Device Analyst",79497
"Security Technical Consultant",83497
"HR Specialist Senior",91872
"HR Specialist Advanced",90935
"Agency Cost Allocation Accountant",84217
"Climate and Health Program Manager",83497
"Office Operations Associate",45497
"Operations Program Associate",45497
"Quality Services Specialist",56500
"Unemployment Benefits Specialist",111025
"Academic Communications",85497
"Academic Planner",85497
"Adivsor and Program Coordinator",58497
"Administrative Program Specialist",74997
"AmeriCorps Program Coordinator",63397
"Application Portfolio Manager",109000
"Bilingual Home Visitor",47497
"Bioinformatics researcher",94497
"Business Systems Analyst ",64000
"Cash Posting",40500
"Content Strategist ",340494
"Fellow physician",91497
"Human Resources/Business Office Manager",53100
"Creative/Design Manager",73800
"Data Entry and Records Specialist",42617
"Database Architect ",105497
"Development Director ",145097
"EHR implementation coordinator",77000
"Employee Development Programs Manager",94497
"Executive Staff Assistant ",77247
"Grants Management",139497
"HRIS Consultant",120000
"IT End User Services Technician",67497
"IT Support Engineer",327160
"Manager Library/Tutoring",108822
"Marketing and Communications Specialist",196494
"Membership and Data Analytics Manager",49300
"Senior Clinical Laboratory Scientist",200000
"Policy and Reporting Analyst",47758
"Product Test Engineer",99190
"Production Technician",69000
"Student Program Advisor",73196
"Recruitment Specialist",83497
"Research Compliance Specialist",66497
"Supervisor, Surgery/Anesthesia EHR Module",111900
"Research IT specialist ",71497
"Residency Program Coordinator",64497
"Grant Administrator ",128497
"Shift Leader (Manager)",35750
"Service Account Manager",38000
"Project Support",123551
"Software Development Lead",130001
"Sr. Outreach Specialist",70497
"Systems Manager",115997
ARNP,142500
"Technical Services Engineer",205500
"Technical Solutions Engineer",97000
"User Experience Designer ",98497
"UX ",100000
"Hardware Engineer I",88700
"Senior Business Analytics Analyst",93475
"Hospice Nurse",139697
"Software QA",180800
"Senior IT Professional",106997
"Medical supply tech",38500
"Finance and Payroll Support Analyst",55000
"International Territory Support/Customer Service",69497
"GIS Specialist ",82220
"Continuing Legal Education Program Planner",72497
"Data Management Officer",136027
"Customer Support engineer ",176994
"Licensed Mental Health Counselor",51497
"Senior Metrologist ",63497
"Data Analysis Manager",59497
"Delivery Manager",168994
"Officer, Policy",46731
"Lead Commercial Manager",123497
"Legal PA",54497
Diplomat,349000
"Medical Coordinator",41497
"Staff Regulatory Affairs Specialist",106920
"Public Safety Telecommunicator/911 dispatcher",39000
RBT,61497
"Middle School Teacher",338735
"Apprentice Business Administrator ",18500
"Disability Analyst",48356
"Placements Officer",47547
"Principal Service Designer",105000
"System IT",108497
"Sr. IT Project Manager",141000
"Sr. Digital Designer",80000
"Senior Email/Messaging Analyst",105828
"Social Studies Teacher",112447
Sales,552485
"Senior Artist Manager",55497
"Accountant I",101994
"Senior Customer Champion",53100
"Senior Data Engineer",490350
"Engineering Director",469994
"Station manager",51497
"Accounts Payable Manager/Junior Accountant",58497
"Admission Counselor",58000
"Digital PR Executive ",40497
"CAD Drafter",63421
"Quality Assurance Assistant",35497
"Planning Director",158000
"Assistant Product Manager",34350
"General Music Teacher",78497
"Prison Officer",38497
"Social Media and Communications Assistant",32497
"Epic Credentialed Trainer",98497
"Quality Control Contractor",53017
"Housekeeping Supervisor",33500
"Learning Technology Specialist",61497
"Programme Administrator",76672
"Senior Inbound Marketer",45497
"Senior planner/ buyer ",95997
"Registration Executive",28900
"Specialist Support Worker",38497
"Records Processing Specialist ",44385
"Customer Services Coordinator",33497
"Social Media and Community Manager",46098
"Senior Editor, Mathematics",91000
"Accounts Trainee",40747
"Money Adviser",38978
"Head of Pricing and Analytics",117000
"Senior UX Engineer",144397
"Retail Communications Lead",45497
"Freelance Content Writer and Copy Editor",90497
Bookseller,59997
"Bar Staff",32029
"SALT Teaching Assistant",32497
"Relationship manager",589247
"Sr. Consultant, Digital Process Innovation ",91497
"Client Engagement Coordinator",36497
"Further Education Funding and Data Consultant",79497
"Senior digital manager",73497
"Media Relations Manager",129289
"Audit and accounts assistant ",35997
"Chartered Accountant",36000
"Estates Operations Manager",46314
"Junior Data Scientist",43497
"Training Coordinator ",114692
"Rail Engineering III Apprenticeship ",28000
"Registered Manager ",45500
"Quarantine Care Team Coordinator",53497
"Learning Artist ",37818
"Quality Control Supervisor ",34000
"Assistant Learning Center Coordinato",49897
" Commercial Manager ",51497
"Maintenance Coordinator ",58497
"Program Executive",83497
"Senior Administrator ",127008
"User Experience",163497
"Commercial manager",67497
"Membership Manager ",124437
"Strategic EA ",59497
"Publishing specialist",249034
"Head of Insights",55497
"PSI Worker",35497
"Implementation Specialist",99500
"Media Relations Director",74497
"Personal Banker ",108580
"Director of Archives and Special Collections",207413
"Controls Engineer II",107800
"Equity Coordinator",111997
"Team manager ",21400
"Design Engineer II",78990
"Research Portfolio Manager",32500
"Work Placement Tutor",38497
"Care Consultant ",47983
"Faculty PA",37247
"Childcare Aide",38497
"Committee Secretary ",42497
"Community Liaison ",48497
"Content director ",62500
"Collaboration Engineer I",67524
"Senior Sub Editor",106994
"Field Construction engineer ",85020
"Manager, Customer Support",124000
"Senior Digital Marketing Executive ",32300
"Plumbing Parts and Purchasing",39820
"Deputy Counsel",275994
"Data Mechanic",29500
"Senior Professional Staff, Engineering Physicist",124500
"Hotel Receptionist",36377
"Air Traffic Control Specialist",118497
"Distribution Centre Manager ",61497
"Radio broadcaster",42000
"Colleague ",30777
"Business Education Teacher-Private School",47997
"Executive and project assistant ",49497
"Grants manager ",43497
"DOD Analyst",123497
"Archivist and Records Manager ",63497
"Operations Support Manager",86497
"Senior Banking Associate ",74000
"Level 1 Helpdesk",45737
"Assistant Team Lead, HR Operations",74000
"Inside Sales Engineer ",90000
"Truck Driver",95000
Coder/Abstractor,42682
"Principal Ocuupational Therapist",172000
"HR Supervisor ",52300
"Experience Manager",55000
"CAD Technician",131217
"E-Commerce and Marketing Manager",73497
"Loan Processing Supervisor",70000
"Cultural Resources Specialist and Archeologist",72500
"Business Applications Delivery Manager",125161
"Commercial Banker",220000
"Instructional Designer II",115000
"Internal Audit Supervisor ",121000
"Manager - Technical Accounting",163497
"Salesforce Training/Change Management Professional",117500
"Service Designer",143497
"Sr. Communications and Outreach Strategist",104000
"Hotel Manager",39497
"Scheduling Manager",60400
Autotransfusionist,49497
"Senior Director, Product Development",170000
"Director of Advocacy",212497
"HR Project Manager ",77000
"Tax consultant ",78497
"Junior Software Developer",201388
"Forklift Driver ",32997
"Purchasing Specialist",130937
"System Programmer I",71463
Accounting/Operations,55500
"Archivist-Project Manager",83497
"HR Specialist II",49897
"School Social Worker ",65497
"Director of Clinical Quality",109000
"Professor d'histoire-geographie",35500
"Junior Corporate legal counsel",43003
"Assistant Residential Dean",48497
"Registered Behavior Technician (RBT)",47497
"Outpatient Services Supervisor ",50500
"Manager of Volunteer Services",83500
"Director of Reimbursement ",95897
"Sr. Project Administrator",77997
"Hospital Manager",46500
"Admissions Representative",213997
"Sr Quality Supervisor",115000
"Lead Software Engineer ",647997
"Head of Product and Data",87497
"Project Lead MD",66497
"Email Developer",37497
"Associate professor (tenured)",49497
"Training assistant",25200
"Head of Water and Environment Department",45800
"Commercial Manager of Parametric Solutions",64000
"Hospital claims analyst",40100
"Digital Communication Officer",48497
"Cybersecurity Principal",130000
"Java Software Developer",31257
"Lifecycle Marketing Manager",28000
"Head of office",83497
"Bid Manager",186994
"Operationnal Planning Manager",46497
"Data privacy senior consultant",49000
"Project Management Officer",37800
"Field Technician in Archaeology",28497
"High Ropes Instructor",28269
"Software Engineering Intern",42297
"Cyber Security",1240
Chaplain,95497
"Online Marketing Manager",52497
"Accounting and Administration Worker",42297
"Game Producer",127794
"Epic Cogito Analyst/Clinical BU.Siness Intelligence Analyst",80300
Dancer,26497
"Director of Revenue Cycle and EHR",85497
"Design Thinking Strategist",110997
"Digital Program Manager ",102000
"iPhone Engineer",89497
"Title examiner ",59247
"Nurse Consultant",115500
"Manager, Events and Marketing Services",90000
"Public Services Supervisor",133335
"Academic Services Coordinator",42700
"Admissions Counselor",104994
"Consumer Advocate",37497
"Credit Manager",45497
"Foster Care Specialist ",56497
"General Manager of Fulfillment ",123497
Groundskeeper,34297
"Instructional Support Advisor - Math",89497
"Learning and Compliance Consultant",54494
"Manager, Guest Services and Operations",47297
"Cancer Registry Supervisor",83551
"Senior Martech Analyst",120000
"Promotion Producer",188994
"Assistant Project Engineer",61850
"Content Designer",561434
"Web Design and Front-end Developer",43050
"Manager Talent Acquisition ",97997
"Inside Sales Engineer",70000
"Assistant Teaching Professor ",70197
"Planning Manager",243997
"Automation Systems Analyst",60200
"Conversion Manager",161000
"Healthcare Administrator",92000
"Resident Services Manager ",57000
"Principal Integration and Test Engineer",131497
"Conservation program assistant ",48497
"Universal Banker",51497
"Senior Engineer ",642994
"Associate Marketing Manager",68250
"Digital Preservation Officer",76497
"English Teacher",599532
"Residential Therapist",48000
"Technical Training Specialist",81497
"Release Manager",189997
"Release Train Engineer",113000
"Clinical bioethicist",131017
"Supervisor Engineering",86272
"Telematics Systems Engineer",95997
"Senior Fraud Investigations Officer ",88000
"Senior Drupal Developer",51700
"Sr. Principal Engineer",359000
"Special Education Preschool Teacher",101000
"Senior Researcher and Designer",88497
"VP of Economic Development",103497
"Research and Operations Director",122497
"Accounting Specialist/Human Resource Coordinator",59497
"Theatrical Lighting Designer",49497
waitress,93050
"Sign Language Interpreter, Community Only",138297
"Director of Major Gifts",89000
"Director of Supply ",180000
"Food Service Coordinator",47941
"E-Discovery Consultant",120000
"F&B Director",150000
"Financial Services Associate",40480
Realtor,98497
"Marketing and Public Relations Specialist",71000
"Quality Specialist",178997
"Services and Systems designer",62497
"Senior Manager, Product",178000
"Social Media Content Creator ",86497
"Director of Sales ",70000
"Private Chef",81000
Software,136497
"Manager, Team Lead",75097
"CMM Programmer",127497
