Overall_Experience,Job_Title,Total_compensation
"2 - 4 years","Narrative Designer",18924
"2 - 4 years","National Management Trainee",40197
"2 - 4 years","Native English Teacher",23717
"2 - 4 years","Netsuite Administrator and Developer",118497
"2 - 4 years","Network Engineer",118497
"2 - 4 years","Neurology Sales Representative",100000
"2 - 4 years","News Anchor",58497
"2 - 4 years","Nonprofit Program Manager",85497
"2 - 4 years","Nonprofit staff attorney",83497
"2 - 4 years",Nurse,78497
"2 - 4 years","Nurse practitioner ",222994
"2 - 4 years","Nursery practitioner",28857
"2 - 4 years","Occupational Safety Technician ",69497
"2 - 4 years","Occupational Therapist",125032
"2 - 4 years","OD Consultant",72500
"2 - 4 years","Office Administrator",59097
"2 - 4 years","Office Administrator ",97994
"2 - 4 years","Office Manager",338111
"2 - 4 years","Office Operations Associate",45497
"2 - 4 years","Office Supervisor",54378
"2 - 4 years",Officer,69497
"2 - 4 years","Onboarding and Education Specialist ",62497
"2 - 4 years","Onboarding Coordinator",60180
"2 - 4 years","Online Marketing Manager",52497
"2 - 4 years","Online Sales Associate",39700
"2 - 4 years","Online Tutor",14377
"2 - 4 years","Operationnal Planning Manager",46497
"2 - 4 years","Operations ",120497
"2 - 4 years","Operations and Events Coordinator",41497
"2 - 4 years","Operations and Program Manager",60497
"2 - 4 years","Operations Assistant",71697
"2 - 4 years","Operations Associate",165000
"2 - 4 years","Operations Associate ",62500
"2 - 4 years","Operations Coordinator",131237
"2 - 4 years","Operations Intern",42617
"2 - 4 years","Operations Management Graduate",39997
"2 - 4 years","Operations Manager",278948
"2 - 4 years","Operations Manager ",70000
"2 - 4 years","Operations Research Analyst",105190
"2 - 4 years","Operations Supervisor ",65497
"2 - 4 years","Operations/Customer Support",160000
"2 - 4 years","Ops Associate",132497
"2 - 4 years",Optometrist,140000
"2 - 4 years","Order Entry Specialist",46777
"2 - 4 years","Organisational Psychologist",77500
"2 - 4 years","Organized Play Associate",53697
"2 - 4 years","Outreach Coordinator",39000
"2 - 4 years","Outreach Manager",94200
"2 - 4 years","Outreach specialist",124852
"2 - 4 years",Owner,53497
"2 - 4 years","Paid Media Associate ",62000
"2 - 4 years",Paralegal,735792
"2 - 4 years","Paralegal and Admin Assistant",54500
"2 - 4 years","Paralegal Casehandler",67497
"2 - 4 years",Paramedic,58884
"2 - 4 years",Paraprofessional,47000
"2 - 4 years","Passport Officer",75497
"2 - 4 years","Patent Agent",418800
"2 - 4 years","Patent Assistant",57497
"2 - 4 years","Patient Care Coordinator",46777
"2 - 4 years","Patient Care Technician ",37216
"2 - 4 years","Payment service officer",67497
"2 - 4 years","Payroll and Benefits Administrator",58252
"2 - 4 years","Payroll Coordinator",45050
"2 - 4 years","Payroll Specialist ",175690
"2 - 4 years","Peer Support Worker",50169
"2 - 4 years","Penetration Tester",63497
"2 - 4 years","People Business Partner",126497
"2 - 4 years","People coordinator ",91497
"2 - 4 years","People Operations Coordinator",121997
"2 - 4 years","Performance Marketing Manager",88000
"2 - 4 years","Performing Arts Sound Engineer",51977
"2 - 4 years","Petroleum Engineer",97497
"2 - 4 years","Pharmaceutical development intern",45897
"2 - 4 years",Pharmacist,235094
"2 - 4 years","Pharmacy Technician",128764
"2 - 4 years","PhD Candidate",279482
"2 - 4 years","PhD Candidate ",52497
"2 - 4 years","PhD Student Engineering",46520
"2 - 4 years","PhD Student/Research Assistant",35497
"2 - 4 years","Physical Therapist ",192994
"2 - 4 years","Physical Therapist Assistant",63417
"2 - 4 years","Physical therapy technician ",50000
"2 - 4 years","Physician Assistant",280497
"2 - 4 years","Physician Assistant ",108497
"2 - 4 years",Physiotherapist,118497
"2 - 4 years","Pilot Rostering Analyst",43497
"2 - 4 years","Plan Service Representative",68497
"2 - 4 years",Planner,261375
"2 - 4 years","Planner, Chief Marketing Manager",78500
"2 - 4 years","Platform Executive",58497
"2 - 4 years",PM,140000
"2 - 4 years","Policy Advisor (U.K. Government)",54400
"2 - 4 years","Policy Analyst",604009
"2 - 4 years","Policy Analyst ",63129
"2 - 4 years","Policy associate",193994
"2 - 4 years","Policy Manager",39497
"2 - 4 years","Policy Officer",52500
"2 - 4 years","Political Communications Fellow",50937
"2 - 4 years","Population Health Strategy Manager",133000
"2 - 4 years","Portfolio Analyst",130000
"2 - 4 years","Post Doctoral Research Associate ",66497
"2 - 4 years","Post Doctoral Researcher",226836
"2 - 4 years","Post Doctoral Researcher ",39897
"2 - 4 years","Post Doctoral Scholar",58497
"2 - 4 years","Post Production Assistant",52500
"2 - 4 years","Post-Grad Intern",81000
"2 - 4 years",Postdoctoral,172491
"2 - 4 years","Postdoctoral Associate",168494
"2 - 4 years","Postdoctoral Fellow",261273
"2 - 4 years","Postdoctoral research associate",38000
"2 - 4 years","Power System Engineer (Consultant)",125000
"2 - 4 years","PR Associate",87000
"2 - 4 years","PR Specialist",49800
"2 - 4 years","Preschool Teacher ",34000
"2 - 4 years","Press and Editorial Manager",73497
"2 - 4 years","Press Assistant",53497
"2 - 4 years","Press assistant ",48497
"2 - 4 years","Press Secretary/Digital Assistant",78497
"2 - 4 years","Pricing Strategy Project Manager",82500
"2 - 4 years","Principal Consultant",165000
"2 - 4 years","Principal Marine Conservation Manager ",48497
"2 - 4 years","Principal Medical Writer",110000
"2 - 4 years","Principal Scientist",135497
"2 - 4 years","Prison Officer",38497
"2 - 4 years","Private Instrumental Tutor ",169497
"2 - 4 years","Private Investigator",63497
"2 - 4 years","Private Tutor",15897
"2 - 4 years","Pro Bono Coordinator",42497
"2 - 4 years","Process Consultant",73000
"2 - 4 years","Process Controls Engineer",78000
"2 - 4 years","Process Engineer",1076591
"2 - 4 years","Process improvement analysis ",71000
"2 - 4 years","Process Integration Engineering ",110000
"2 - 4 years","Process Safety Engineer",100009
"2 - 4 years","Process Tech",40560
"2 - 4 years","Processing Archivist",64197
"2 - 4 years","Processing Archivist and Records Manager",67497
"2 - 4 years","Procurement advisor",93497
"2 - 4 years","Procurement Coordinator",68497
"2 - 4 years","Procurement Specialist",82000
"2 - 4 years","Procurement Specialist ",77000
"2 - 4 years","Produce Clerk - Cut Prep",35497
"2 - 4 years",Producer,78497
"2 - 4 years","Product Analyst",135000
"2 - 4 years","Product Design Engineer ",89417
"2 - 4 years","Product designer",396497
"2 - 4 years","Product development engineer",115000
"2 - 4 years","Product Development Specialist",53000
"2 - 4 years","Product Director",178497
"2 - 4 years","Product Engineer, Robotics and Sensors ",113497
"2 - 4 years","Product Innovations Associate",63497
"2 - 4 years","Product Manager",1201485
"2 - 4 years","Product Manager ",138497
"2 - 4 years","Product Marketing Lead",157497
"2 - 4 years","Product Marketing Manager ",97750
"2 - 4 years","Product Owner",202997
"2 - 4 years","Product Owner, IT",97500
"2 - 4 years","Product Safety Engineer",115000
"2 - 4 years","Production Assistant",57497
"2 - 4 years","Production Designer ",59497
"2 - 4 years","Production Editor",75897
"2 - 4 years","Production Engineer",172997
"2 - 4 years","Production Engineer and Supervisor",80000
"2 - 4 years","Professional Services Engineer",103497
"2 - 4 years","Program and Development Coordinator",64497
"2 - 4 years","Program and Policy Coordinator",61497
"2 - 4 years","Program Assistant",437293
"2 - 4 years","Program Associate",274244
"2 - 4 years","Program Associate ",38000
"2 - 4 years","Program Coordinator",741754
"2 - 4 years","Program Coordinator ",42000
"2 - 4 years","Program Director",105497
"2 - 4 years","Program Manager",1375418
"2 - 4 years","Program Officer",191994
"2 - 4 years","Program Specialist",132994
"2 - 4 years","Program Specialist III",55497
"2 - 4 years","Program Specialist IV",72497
"2 - 4 years","Programmatic Supervisor",93497
"2 - 4 years","Programme Officer",44500
"2 - 4 years",Programmer,84497
"2 - 4 years","Programs Coordinator",40720
"2 - 4 years","Project Analyst",63497
"2 - 4 years","Project Associate",109500
"2 - 4 years","Project Coordinator",406405
"2 - 4 years","Project Coordinator ",149334
"2 - 4 years","Project Coordinator - Communications",66497
"2 - 4 years","Project Developer",79000
"2 - 4 years","Project engineer",571891
"2 - 4 years","Project Engineer/Consultant",82000
"2 - 4 years","Project Geologist",82500
"2 - 4 years","Project Lead",68497
"2 - 4 years","Project Management Associate",57560
"2 - 4 years","Project Management Associate I",53500
"2 - 4 years","Project Manager",1734224
"2 - 4 years","Project Manager ",200400
"2 - 4 years","Project Manager and Writer",60497
"2 - 4 years","Project Manager II",73497
"2 - 4 years","Project Manager, Development Consulting Services",58000
"2 - 4 years","Project Officer",288591
"2 - 4 years","Project Organizer",75297
"2 - 4 years","Project Specialist",75497
"2 - 4 years","Project Support",48551
"2 - 4 years","Project Support Officer",90597
"2 - 4 years","Projects Coordinator",57000
"2 - 4 years","Projekt Manager",73497
"2 - 4 years","Proposal Specialist",71097
"2 - 4 years","proposal specialist ",86997
"2 - 4 years","Prospect Researcher",57997
"2 - 4 years","PSI Worker",35497
"2 - 4 years","Psychiatric Nurse Practitioner ",108497
"2 - 4 years",Psychologist,199497
"2 - 4 years","Psychology Technician",65497
"2 - 4 years","Public Defender",220419
"2 - 4 years","Public Engagement Officer ",50497
"2 - 4 years","Public Health Contractor ",70497
"2 - 4 years","Public Information Specialist",80497
"2 - 4 years","Public Relations Coordinator",53200
"2 - 4 years","Public Relations Coordinator ",50497
"2 - 4 years","Publishing Assistant",35000
"2 - 4 years","QA Engineer",63000
"2 - 4 years",QC,18762
"2 - 4 years","QC Analyst",91497
"2 - 4 years","QI and Planning Manager",78497
"2 - 4 years","Quality Assurance",49000
"2 - 4 years","Quality Assurance Analyst",54000
"2 - 4 years","Quality Assurance Analyst ",65497
"2 - 4 years","Quality Assurance Auditor",3400
"2 - 4 years","Quality Assurance Specialist ",62197
"2 - 4 years","Quality Compliance Analyst",75247
"2 - 4 years","Quality Control Contractor",53017
"2 - 4 years","Quality Engineer",687745
"2 - 4 years","Quality Engineer and Internal Auditor",86497
"2 - 4 years","Quality Engineer II",93500
"2 - 4 years","Quality Manager ",70000
"2 - 4 years","Quality Technician",102535
"2 - 4 years","Quantitative Analyst",96000
"2 - 4 years","Quantitative Research Scientist ",128497
"2 - 4 years","Quarantine Care Team Coordinator",53497
"2 - 4 years","R&D Engineer",232994
"2 - 4 years","R&D Engineer II",99000
"2 - 4 years","R&D Project Manager",66000
"2 - 4 years","R&D Science II",86000
"2 - 4 years","Radio Producer",36497
"2 - 4 years","Rail Engineering III Apprenticeship ",28000
"2 - 4 years","Rapid Rehousing Program Associate ",53497
"2 - 4 years","Real Estate Appraiser",68497
"2 - 4 years",Receptionist,257048
"2 - 4 years","Recording secretary ",59197
"2 - 4 years","Records Preparation Officer",22075
"2 - 4 years","Records Processing Specialist ",44385
"2 - 4 years",recruiter,374788
"2 - 4 years","Recruiter ",270832
"2 - 4 years","Recruiter and Data Analyst",70497
"2 - 4 years","Recruiting Assistant",47497
"2 - 4 years","Recruiting Coordinator",101800
"2 - 4 years","Recruiting coordinator ",74844
"2 - 4 years","Recruitment Consultant",50000
"2 - 4 years","Recruitment Marketing Analyst",78497
"2 - 4 years","Reference Librarian",56697
"2 - 4 years","Regional Director",34330
"2 - 4 years","Regional Manager ",93000
"2 - 4 years","Registered Associate",57000
"2 - 4 years","Registered Behavior Technician (RBT)",47497
"2 - 4 years","Registered Dietitian",71497
"2 - 4 years","Registered Dietitian ",76497
"2 - 4 years","Registered Nurse",420462
"2 - 4 years","Registered Nurse - Cardiac Cath",77000
"2 - 4 years","Registered Psychologist",103497
"2 - 4 years",Registrer,50937
"2 - 4 years","Regulatory Affairs Associate/Project Manager",55497
"2 - 4 years","Regulatory Affairs Specialist",79000
"2 - 4 years","Regulatory Affairs Specialist II",95000
"2 - 4 years","Regulatory Manager",37000
"2 - 4 years","Regulatory Specialist",72132
"2 - 4 years","Reimbursement Specialist",65568
"2 - 4 years","Relationship manager",37000
"2 - 4 years","Reliability Engineer in Training",100000
"2 - 4 years","Relief Clerk",61337
"2 - 4 years","Report Developer",42145
"2 - 4 years",Reporter,273597
"2 - 4 years",Research,53497
"2 - 4 years","Research Analyst",492995
"2 - 4 years","Research and Development Associate ",47997
"2 - 4 years","Research and Development Engineer",76000
"2 - 4 years","Research and Development Scientist",163901
"2 - 4 years","Research and Instruction Librarian",67497
"2 - 4 years","Research and Systems Technician Data Analytics",35497
"2 - 4 years","Research Assistant",879207
"2 - 4 years","Research Assistant I",44497
"2 - 4 years","Research Assistant II",111312
"2 - 4 years","Research Associate",950190
"2 - 4 years","Research Associate II",345492
"2 - 4 years","Research Chemist / Training Supervisor",83497
"2 - 4 years","Research Compliance Manager",83497
"2 - 4 years","Research Coordinator",185427
"2 - 4 years","Research Data Analyst",55997
"2 - 4 years","Research Data Analyst Associate",73497
"2 - 4 years","Research Executive",83997
"2 - 4 years","Research Fellow",387996
"2 - 4 years","Research Fellow/Lecturer",82497
"2 - 4 years","Research Manager",161994
"2 - 4 years","Research Officer",50197
"2 - 4 years","Research Project Manager",63497
"2 - 4 years","Research Scientist",889041
"2 - 4 years","Research Scientist I",91000
"2 - 4 years","Research Scientist II",89982
"2 - 4 years","Research Scientist III",344497
"2 - 4 years","Research Scientist/Engineer",88497
"2 - 4 years","Research Software Engineer",40496
"2 - 4 years","Research Specialist",126994
"2 - 4 years","Research Staff",97497
"2 - 4 years","Research Technician ",81737
"2 - 4 years","Research Technologist 1",50497
"2 - 4 years",Researcher,289491
"2 - 4 years","Researcher ",45321
"2 - 4 years","Residence Academic Lead ",34817
"2 - 4 years",Resident,170994
"2 - 4 years","Resident Director",58597
"2 - 4 years","Resident Doctor",30897
"2 - 4 years","Resident Physician",276097
"2 - 4 years","Resident physician ",65294
"2 - 4 years","Resident's Assistant",24597
"2 - 4 years","Residential Appraiser II",71497
"2 - 4 years","Residential Supervisor",62997
"2 - 4 years","Residential Therapist",48000
"2 - 4 years","Restaurant Manager",50000
"2 - 4 years","Retail Associate",33985
"2 - 4 years","Retirement Specialist",45497
"2 - 4 years","Revenue accountant",73497
"2 - 4 years","Revenue auditor",71497
"2 - 4 years","Revenue Operations Asaociate",68497
"2 - 4 years","RF Engineer",138000
"2 - 4 years","RFIC Design Engineer",115000
"2 - 4 years","Ride Operator",44497
"2 - 4 years","Risk Analyst",87500
"2 - 4 years","Risk Management Associate",14697
"2 - 4 years","Risk Officer",87997
"2 - 4 years",RN,59000
"2 - 4 years","Robotics Software Engineer",128497
"2 - 4 years","Rotational Analyst",93000
"2 - 4 years","RPA Developer ",88497
"2 - 4 years","Sailing Instructor",55097
"2 - 4 years","Sales analyst",268194
"2 - 4 years","Sales and Marketing Analyst ",74000
"2 - 4 years","Sales and Service Engineer",92250
"2 - 4 years","Sales Assistant",47000
"2 - 4 years","Sales Associate",94957
"2 - 4 years","Sales Consultant",51500
"2 - 4 years","Sales Development Representative ",5600
"2 - 4 years","Sales Enablement Manager",65000
"2 - 4 years","Sales Engineer",150000
"2 - 4 years","Sales Executive",95000
"2 - 4 years","Sales Floor/Stocking",36897
"2 - 4 years","Sales Lead",43497
"2 - 4 years","Sales Manager ",450000
"2 - 4 years","Sales Operations Manager",206497
"2 - 4 years","Sales Planner",69600
"2 - 4 years","Sales Strategy Analyst",67500
"2 - 4 years","Sales Support Specialist",57000
"2 - 4 years","SCADA Developer",25000
"2 - 4 years","School Administrative Assistant 1",48857
"2 - 4 years","School Clerk-Secretary",62497
"2 - 4 years","School Psychologist",191437
"2 - 4 years","School Social Worker",92497
"2 - 4 years","School Social Worker ",65497
"2 - 4 years",Science,78497
"2 - 4 years","Science Teacher",70000
"2 - 4 years","Science Writer/Technology Marketing Associate",49497
"2 - 4 years","Scientific Assistant",67597
"2 - 4 years","Scientific Officer",39897
"2 - 4 years","Scientific Program Analyst Assistant",63021
"2 - 4 years","Scientific Support Specialist",78497
"2 - 4 years",Scientist,778394
"2 - 4 years","Scientist I",179147
"2 - 4 years","Scientist II",95000
"2 - 4 years","Scrum master",105497
"2 - 4 years",SDR,80000
"2 - 4 years","Sea Logistics specialist ",37497
"2 - 4 years","Search engine optimization analyst",73497
"2 - 4 years","Security Analyst",57497
"2 - 4 years","Security Analyst ",101000
"2 - 4 years","Security Consultant",58497
"2 - 4 years","Security Engineer",345000
"2 - 4 years","Security Operation Specialist",89000
"2 - 4 years","Senior ",110497
"2 - 4 years","Senior - Attack and Pen Testing",139000
"2 - 4 years","Senior Account Executive",283497
"2 - 4 years","Senior Account Executive ",41997
"2 - 4 years","Senior Accountant",295497
"2 - 4 years","Senior Accountant ",90000
"2 - 4 years","Senior Admin",28200
"2 - 4 years","Senior Administration Officer ",42247
"2 - 4 years","Senior Administrative Associate",61000
"2 - 4 years","Senior Admission Counselor",63497
"2 - 4 years","Senior Advisor ",61797
"2 - 4 years","Senior Advisory Specialist",79800
"2 - 4 years","Senior Analyst",661364
"2 - 4 years","Senior Analyst ",98497
"2 - 4 years","Senior Analyst, Management Consulting",7639
"2 - 4 years","Senior Analytics Analyst",110000
"2 - 4 years","Senior Analytics Engineer",144850
"2 - 4 years","Senior Associate",770000
"2 - 4 years","Senior Associate ",102000
"2 - 4 years","Senior Associate Consultant",88000
"2 - 4 years","Senior Associate, Finance",137500
"2 - 4 years","Senior Audit Associate",72500
"2 - 4 years","Senior auditor",78200
"2 - 4 years","Senior BI Developer",163497
"2 - 4 years","Senior bioinformatics scientist",190420
"2 - 4 years","Senior Bookkeeper ",55497
"2 - 4 years","Senior BSA Analyst",62397
"2 - 4 years","Senior Budget and Management Analyst ",80297
"2 - 4 years","Senior Business Analyst",105429
"2 - 4 years","Senior Campaign Manager",78000
"2 - 4 years","Senior Case Manager",59497
"2 - 4 years","Senior Client Service Associate",62000
"2 - 4 years","Senior Computer Scientist",133000
"2 - 4 years","Senior Consultant",847687
"2 - 4 years","Senior Coordinator",55000
"2 - 4 years","Senior Credit Analyst",80000
"2 - 4 years","Senior Cybersecurity Analyst",130000
"2 - 4 years","Senior Data Analyst",153182
"2 - 4 years","Senior Data Engineer",160000
"2 - 4 years","senior data scientist",574497
"2 - 4 years","Senior Data Scientist ",153000
"2 - 4 years","Senior Data Specialist",46500
"2 - 4 years","Senior Database Analyst",99497
"2 - 4 years","Senior Developer",38000
"2 - 4 years","Senior Digital Strategist",94000
"2 - 4 years","Senior eCommerce Account Manager",61000
"2 - 4 years","Senior Editor",91000
"2 - 4 years","Senior Education Coordinator",31493
"2 - 4 years","Senior Engineer",235260
"2 - 4 years","Senior Experience Strategist",76645
"2 - 4 years","Senior Financial Analyst",95000
"2 - 4 years","Senior Fund Accountant ",117000
"2 - 4 years","Senior Government Relations Coordinator",67500
"2 - 4 years","Senior Grant Writer",75920
"2 - 4 years","Senior illustrator ",25497
"2 - 4 years","Senior Information Security Specialist",96000
"2 - 4 years","Senior Learning Consultant and Instructional Designer  ",66100
"2 - 4 years","Senior Legal Policy Advisor",114497
"2 - 4 years","Senior Library Clerk",43199
"2 - 4 years","Senior Machine Learning Engineer",78497
"2 - 4 years","Senior Management Consultant",34947
"2 - 4 years","Senior Manager",220000
"2 - 4 years","Senior Manager Regulatory Affairs Labeling",160000
"2 - 4 years","Senior Manager, Community Engagement",121000
"2 - 4 years","Senior Manager, Statistics",205000
"2 - 4 years","Senior Marketing Associate",63497
"2 - 4 years","Senior Marketing Coordinator",70000
"2 - 4 years","Senior Marketing Coordinator ",56497
"2 - 4 years","Senior Marketing Operations Associate",92609
"2 - 4 years","Senior Marketing Research Analyst",118497
"2 - 4 years","Senior Mobility and Software Analyst",68497
"2 - 4 years","Senior officer",82000
"2 - 4 years","Senior Pastor",76497
"2 - 4 years","Senior Policy Advisor",54500
"2 - 4 years","Senior Policy Analyst",107397
"2 - 4 years","Senior Product Designer",125000
"2 - 4 years","Senior Product Designer ",123497
"2 - 4 years","Senior Product Manager",445244
"2 - 4 years","Senior Product Specialist",113497
"2 - 4 years","Senior Program Assistant",65497
"2 - 4 years","Senior Program Associate",75497
"2 - 4 years","Senior Program Specialist",58100
"2 - 4 years","Senior Program Support Associate",85497
"2 - 4 years","Senior Programmatic Associate",78497
"2 - 4 years","Senior project engineer",81000
"2 - 4 years","Senior Public Relations Specialist",82000
"2 - 4 years","Senior Recruiter",90000
"2 - 4 years","Senior Recruiting Manager",80000
"2 - 4 years","Senior Regulatory Affairs Specialist",49500
"2 - 4 years","Senior Research Analyst",301491
"2 - 4 years","Senior Research and Training Associate",77347
"2 - 4 years","Senior research assistant",55617
"2 - 4 years","Senior Research Associate",445994
"2 - 4 years","Senior Research Associate ",49497
"2 - 4 years","Senior Research Executive",41697
"2 - 4 years","Senior Researcher",39497
"2 - 4 years","Senior Revenue Accountant",118497
"2 - 4 years","Senior Sales Operations Analyst",84000
"2 - 4 years","Senior Sales Representative ",65000
"2 - 4 years","Senior Scientist",297433
"2 - 4 years","Senior scientist ",137500
"2 - 4 years","Senior scientist (chemistry)",42000
"2 - 4 years","Senior Scientist and Program Manager",170000
"2 - 4 years","Senior Scientist II",132000
"2 - 4 years","Senior Site Analyst",100000
"2 - 4 years","Senior Site Reliability Engineer",112300
"2 - 4 years","Senior Software Developer",285497
"2 - 4 years","Senior software developer in test",122800
"2 - 4 years","Senior Software Engineer",2250579
"2 - 4 years","Senior Software Engineer ",158497
"2 - 4 years","Senior Solicitor",98726
"2 - 4 years","Senior Specialist",83497
"2 - 4 years","Senior SQL Developer",99497
"2 - 4 years","Senior staff engineer",159500
"2 - 4 years","Senior Strategist",86000
"2 - 4 years","Senior Strategy Analyst ",99000
"2 - 4 years","Senior Sub Editor",43497
"2 - 4 years","Senior Tax Accountant",187500
"2 - 4 years","Senior Technical Business Analyst",130000
"2 - 4 years","Senior Technician",58000
"2 - 4 years","Senior Technology Consultant",92400
"2 - 4 years","Senior third party risk analyst",106050
"2 - 4 years","Senior UX Researcher",106000
"2 - 4 years","SEO Analyst",41500
"2 - 4 years","SEO Engineer ",56497
"2 - 4 years","SEO Manager",73497
"2 - 4 years","SEO Specialist",75997
"2 - 4 years",Server,27097
"2 - 4 years","Service Account Manager",38000
"2 - 4 years","Service Advisor",63800
"2 - 4 years","Service facilitator",50497
"2 - 4 years","Shift Lead",94294
"2 - 4 years","Shipping Coordinator ",59497
"2 - 4 years","Shop Manager",34497
"2 - 4 years","Site Manager",86500
"2 - 4 years","Site Reliability Engineer ",123497
"2 - 4 years",SLP,90497
"2 - 4 years","SOC Analyst",73497
"2 - 4 years","Social media and digital manager ",73497
"2 - 4 years","Social Media Associate ",75497
"2 - 4 years","Social Media Editor",140497
"2 - 4 years","Social Media Manager",63497
"2 - 4 years","Social media manager ",152800
"2 - 4 years","Social Media Specialist",54497
"2 - 4 years","Social Media Specialist ",43000
"2 - 4 years","Social Media Strategist",68497
"2 - 4 years","Social Studies Teacher",56997
"2 - 4 years","Social Worker",24700
"2 - 4 years","Software Consultant",85000
"2 - 4 years","Software Developer",2178046
"2 - 4 years","Software Developer ",79497
"2 - 4 years","Software Developer (junior)",78497
"2 - 4 years","Software Developer I",145997
"2 - 4 years","Software Developer II",178997
"2 - 4 years","Software Developer III",178497
"2 - 4 years","Software Development Engineer II",158297
"2 - 4 years","Software Development Engineer III",122000
"2 - 4 years","Software Engineer",10936740
"2 - 4 years","Software Engineer (SE1)",141000
"2 - 4 years","Software Engineer I",191000
"2 - 4 years","Software Engineer II",2143850
"2 - 4 years","Software Engineer III",489667
"2 - 4 years","Software Engineer Mid",38600
"2 - 4 years","Software Engineering Intern",42297
"2 - 4 years","Software Engineering Manager",163497
"2 - 4 years","Software Implementation Consultant",83600
"2 - 4 years","Software Support Engineer",79497
"2 - 4 years","Software Test Engineer",63000
"2 - 4 years","Software Testing Engineer ",69497
"2 - 4 years","Software Trainer",66500
"2 - 4 years",Soldier,16472
"2 - 4 years","Solution Architect",103497
"2 - 4 years","Solution Support Analyst",58497
"2 - 4 years","Solutions Architect",70497
"2 - 4 years","Solutions Engineer",95000
"2 - 4 years","Special Education Aide",35497
"2 - 4 years","Special Education Paraprofessional",35497
"2 - 4 years",Specialist,98000
"2 - 4 years","Speech and Language Therapist ",50497
"2 - 4 years","Speech Pathologist",92497
"2 - 4 years","Speech-language pathologist",254491
"2 - 4 years","Speech-Language Pathologist Clinical Fellow",79900
"2 - 4 years","Sports Reporter",55497
"2 - 4 years","Sr. Associate",73500
"2 - 4 years","Sr. Associate, Project Manager",83497
"2 - 4 years","Sr. Business Analyst",104497
"2 - 4 years","Sr. Content Editor",76497
"2 - 4 years","Sr. Coordinator",50000
"2 - 4 years","Sr. Data Analyst ",93497
"2 - 4 years","Sr. Data Scientist",123100
"2 - 4 years","Sr. Engineer, Software Development",119236
"2 - 4 years","Sr. Financial Analyst",192000
"2 - 4 years","Sr. Medical Device Engineer",132000
"2 - 4 years","Sr. Operations Engineer",110000
"2 - 4 years","Sr. Professional Staff I",148497
"2 - 4 years","Staff accountant",249500
"2 - 4 years","Staff accountant ",146494
"2 - 4 years","Staff Accountant II",176497
"2 - 4 years","Staff Attorney",319388
"2 - 4 years","Staff attorney - nonprofit ",63497
"2 - 4 years","Staff Geologist",131133
"2 - 4 years","Staff Psychotherapist ",65497
"2 - 4 years","Staff RN",103000
"2 - 4 years","Staff Scientist",63150
"2 - 4 years","Staff Writer",136997
"2 - 4 years","Statistical Analyst II",94597
"2 - 4 years","Statistical Programmer/Data Analyst",74997
"2 - 4 years",Statistician,224741
"2 - 4 years","Statistician ",76000
"2 - 4 years","Store Associate Rx",41577
"2 - 4 years","Strategic Projects Manager",40197
"2 - 4 years","Strategy Consultant",128000
"2 - 4 years","Strategy Finance Advisor",45497
"2 - 4 years","Strategy Lead",118497
"2 - 4 years","Streetworks Manager",43000
"2 - 4 years","Structural Engineer",170594
"2 - 4 years","Structural Engineering Specialist",177594
"2 - 4 years",Student,98394
"2 - 4 years","Student Outreach Specialist",57497
"2 - 4 years","Student Success and Engagement Librarian",65497
"2 - 4 years","Student Success Center Speciaist-Advisor",45497
"2 - 4 years","Student Success Librarian",75497
"2 - 4 years","Studio Coordinator",85497
"2 - 4 years","study abroad advisor",57497
"2 - 4 years","Success Coach/Program Coordinator ",59497
"2 - 4 years","Superintendent ",97000
"2 - 4 years",Supervisor,66240
"2 - 4 years","Supervisor ",73500
"2 - 4 years","Supplier Relationship Manager",167000
"2 - 4 years","Supply chain analyst",124497
"2 - 4 years","Supply Chain Specialist",49000
"2 - 4 years","Supply Planner",88497
"2 - 4 years","Supply Planner ",71000
"2 - 4 years","Support advisor",47500
"2 - 4 years","Support Analyst",62497
"2 - 4 years","Support Coordinator",33380
"2 - 4 years","Support Tech",38500
"2 - 4 years","Supports Coordinator ",49497
"2 - 4 years","Surveillance Data Manager",63997
"2 - 4 years","Sustainability Consultant",73497
"2 - 4 years","Sustainability Coordinator ",48497
"2 - 4 years","Sustainability manager",42200
"2 - 4 years","System Administrator",171491
"2 - 4 years","System Programmer I",71463
"2 - 4 years","System Software Engineer",129497
"2 - 4 years","Systems Engineer",784994
"2 - 4 years","Systems engineer ",100997
"2 - 4 years","Systems Engineer - Cybersecurity",89459
"2 - 4 years","Systems Engineer II",102000
"2 - 4 years","Systems Operations Intern",71737
"2 - 4 years",TA,25497
"2 - 4 years","Talent Acquisition Partner",90252
"2 - 4 years","Talent Acquisition Specialist",79497
"2 - 4 years","Talent Acquisition Specialist ",156000
"2 - 4 years","Talent Advisor",63497
"2 - 4 years","Talent Consultant ",61314
"2 - 4 years","Tax Accountant",73497
"2 - 4 years","Tax Accountant- Public Accounting",72697
"2 - 4 years","Tax Senior",71000
"2 - 4 years",Teacher,861259
"2 - 4 years","Teacher ",50497
"2 - 4 years","Teacher Resident/Student Teacher",35097
"2 - 4 years","Teaching Assistant",129491
"2 - 4 years","Teaching Fellow",49497
"2 - 4 years","Team Lead",48497
"2 - 4 years","Team Leader",48800
"2 - 4 years","Team Manager",80000
"2 - 4 years","Tech consultant ",96000
"2 - 4 years","Tech Support",37000
